Name,Type,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation
Simisage,Grass,75,98,63,98,63,101,5
Pansear,Fire,50,53,48,53,48,64,5
Simisear,Fire,75,98,63,98,63,101,5
Panpour,Water,50,53,48,53,48,64,5
Simipour,Water,75,98,63,98,63,101,5
Munna,Psychic,76,25,45,67,55,24,5
Musharna,Psychic,116,55,85,107,95,29,5
Pidove,Normal,50,55,50,36,30,43,5
Tranquill,Normal,62,77,62,50,42,65,5
Unfezant,Normal,80,115,80,65,55,93,5
Blitzle,Electric,45,60,32,50,32,76,5
Zebstrika,Electric,75,100,63,80,63,116,5
Roggenrola,Rock,55,75,85,25,25,15,5
Boldore,Rock,70,105,105,50,40,20,5
Gigalith,Rock,85,135,130,60,80,25,5
Woobat,Psychic,55,45,43,55,43,72,5
Swoobat,Psychic,67,57,55,77,55,114,5
Drilbur,Ground,60,85,40,30,45,68,5
Excadrill,Ground,110,135,60,50,65,88,5
Audino,Normal,103,60,86,60,86,50,5
AudinoMega Audino,Normal,103,60,126,80,126,50,5
Timburr,Fighting,75,80,55,25,35,35,5
Gurdurr,Fighting,85,105,85,40,50,40,5
Conkeldurr,Fighting,105,140,95,55,65,45,5
Tympole,Water,50,50,40,50,40,64,5
Palpitoad,Water,75,65,55,65,55,69,5
Seismitoad,Water,105,95,75,85,75,74,5
Throh,Fighting,120,100,85,30,85,45,5
Sawk,Fighting,75,125,75,30,75,85,5
Sewaddle,Bug,45,53,70,40,60,42,5
Swadloon,Bug,55,63,90,50,80,42,5
Leavanny,Bug,75,103,80,70,80,92,5
Venipede,Bug,30,45,59,30,39,57,5
Whirlipede,Bug,40,55,99,40,79,47,5
Scolipede,Bug,60,100,89,55,69,112,5
Cottonee,Grass,40,27,60,37,50,66,5
Whimsicott,Grass,60,67,85,77,75,116,5
Petilil,Grass,45,35,50,70,50,30,5
Lilligant,Grass,70,60,75,110,75,90,5
Basculin,Water,70,92,65,80,55,98,5
Sandile,Ground,50,72,35,35,35,65,5
Krokorok,Ground,60,82,45,45,45,74,5
Krookodile,Ground,95,117,80,65,70,92,5
Darumaka,Fire,70,90,45,15,45,50,5
DarmanitanStandard Mode,Fire,105,140,55,30,55,95,5
DarmanitanZen Mode,Fire,105,30,105,140,105,55,5
Maractus,Grass,75,86,67,106,67,60,5
Dwebble,Bug,50,65,85,35,35,55,5
Crustle,Bug,70,95,125,65,75,45,5
Scraggy,Dark,50,75,70,35,70,48,5
Scrafty,Dark,65,90,115,45,115,58,5
Sigilyph,Psychic,72,58,80,103,80,97,5
Yamask,Ghost,38,30,85,55,65,30,5
Cofagrigus,Ghost,58,50,145,95,105,30,5
Tirtouga,Water,54,78,103,53,45,22,5
Carracosta,Water,74,108,133,83,65,32,5
Archen,Rock,55,112,45,74,45,70,5
Archeops,Rock,75,140,65,112,65,110,5
Trubbish,Poison,50,50,62,40,62,65,5
Garbodor,Poison,80,95,82,60,82,75,5
Zorua,Dark,40,65,40,80,40,65,5
Zoroark,Dark,60,105,60,120,60,105,5
Minccino,Normal,55,50,40,40,40,75,5
Cinccino,Normal,75,95,60,65,60,115,5
Gothita,Psychic,45,30,50,55,65,45,5
Gothorita,Psychic,60,45,70,75,85,55,5
Gothitelle,Psychic,70,55,95,95,110,65,5
Solosis,Psychic,45,30,40,105,50,20,5
Duosion,Psychic,65,40,50,125,60,30,5
Reuniclus,Psychic,110,65,75,125,85,30,5
Ducklett,Water,62,44,50,44,50,55,5
Swanna,Water,75,87,63,87,63,98,5
Vanillite,Ice,36,50,50,65,60,44,5
Vanillish,Ice,51,65,65,80,75,59,5
Vanilluxe,Ice,71,95,85,110,95,79,5
Deerling,Normal,60,60,50,40,50,75,5
Sawsbuck,Normal,80,100,70,60,70,95,5
Emolga,Electric,55,75,60,75,60,103,5
Karrablast,Bug,50,75,45,40,45,60,5
Escavalier,Bug,70,135,105,60,105,20,5
Foongus,Grass,69,55,45,55,55,15,5
Amoonguss,Grass,114,85,70,85,80,30,5
Frillish,Water,55,40,50,65,85,40,5
Jellicent,Water,100,60,70,85,105,60,5
Alomomola,Water,165,75,80,40,45,65,5
Joltik,Bug,50,47,50,57,50,65,5
Galvantula,Bug,70,77,60,97,60,108,5
Ferroseed,Grass,44,50,91,24,86,10,5
Ferrothorn,Grass,74,94,131,54,116,20,5
Klink,Steel,40,55,70,45,60,30,5
Klang,Steel,60,80,95,70,85,50,5
Klinklang,Steel,60,100,115,70,85,90,5
Tynamo,Electric,35,55,40,45,40,60,5
Eelektrik,Electric,65,85,70,75,70,40,5
Eelektross,Electric,85,115,80,105,80,50,5
Elgyem,Psychic,55,55,55,85,55,30,5
Beheeyem,Psychic,75,75,75,125,95,40,5
Litwick,Ghost,50,30,55,65,55,20,5
Lampent,Ghost,60,40,60,95,60,55,5
Chandelure,Ghost,60,55,90,145,90,80,5
Axew,Dragon,46,87,60,30,40,57,5
Fraxure,Dragon,66,117,70,40,50,67,5
Haxorus,Dragon,76,147,90,60,70,97,5
Cubchoo,Ice,55,70,40,60,40,40,5
Beartic,Ice,95,110,80,70,80,50,5
Cryogonal,Ice,70,50,30,95,135,105,5
Shelmet,Bug,50,40,85,40,65,25,5
Accelgor,Bug,80,70,40,100,60,145,5
Stunfisk,Ground,109,66,84,81,99,32,5
Mienfoo,Fighting,45,85,50,55,50,65,5
Mienshao,Fighting,65,125,60,95,60,105,5
Druddigon,Dragon,77,120,90,60,90,48,5
Golett,Ground,59,74,50,35,50,35,5
Golurk,Ground,89,124,80,55,80,55,5
Pawniard,Dark,45,85,70,40,40,60,5
Bisharp,Dark,65,125,100,60,70,70,5
Bouffalant,Normal,95,110,95,40,95,55,5
Rufflet,Normal,70,83,50,37,50,60,5
Braviary,Normal,100,123,75,57,75,80,5
Vullaby,Dark,70,55,75,45,65,60,5
Mandibuzz,Dark,110,65,105,55,95,80,5
Heatmor,Fire,85,97,66,105,66,65,5
Durant,Bug,58,109,112,48,48,109,5
Deino,Dark,52,65,50,45,50,38,5
Zweilous,Dark,72,85,70,65,70,58,5
Hydreigon,Dark,92,105,90,125,90,98,5
Larvesta,Bug,55,85,55,50,55,60,5
Volcarona,Bug,85,60,65,135,105,100,5
Cobalion,Steel,91,90,129,90,72,108,5
Terrakion,Rock,91,129,90,72,90,108,5
Virizion,Grass,91,90,72,90,129,108,5
TornadusIncarnate Forme,Flying,79,115,70,125,80,111,5
TornadusTherian Forme,Flying,79,100,80,110,90,121,5
ThundurusIncarnate Forme,Electric,79,115,70,125,80,111,5
ThundurusTherian Forme,Electric,79,105,70,145,80,101,5
Reshiram,Dragon,100,120,100,150,120,90,5
Zekrom,Dragon,100,150,120,120,100,90,5
LandorusIncarnate Forme,Ground,89,125,90,115,80,101,5
LandorusTherian Forme,Ground,89,145,90,105,80,91,5
Kyurem,Dragon,125,130,90,130,90,95,5
KyuremBlack Kyurem,Dragon,125,170,100,120,90,95,5
KyuremWhite Kyurem,Dragon,125,120,90,170,100,95,5
KeldeoOrdinary Forme,Water,91,72,90,129,90,108,5
KeldeoResolute Forme,Water,91,72,90,129,90,108,5
MeloettaAria Forme,Normal,100,77,77,128,128,90,5
MeloettaPirouette Forme,Normal,100,128,90,77,77,128,5
Genesect,Bug,71,120,95,120,95,99,5
Chespin,Grass,56,61,65,48,45,38,6
Quilladin,Grass,61,78,95,56,58,57,6
Chesnaught,Grass,88,107,122,74,75,64,6
Fennekin,Fire,40,45,40,62,60,60,6
Braixen,Fire,59,59,58,90,70,73,6
Delphox,Fire,75,69,72,114,100,104,6
Froakie,Water,41,56,40,62,44,71,6
Frogadier,Water,54,63,52,83,56,97,6
Greninja,Water,72,95,67,103,71,122,6
Bunnelby,Normal,38,36,38,32,36,57,6
Diggersby,Normal,85,56,77,50,77,78,6
Fletchling,Normal,45,50,43,40,38,62,6
Fletchinder,Fire,62,73,55,56,52,84,6
Talonflame,Fire,78,81,71,74,69,126,6
Scatterbug,Bug,38,35,40,27,25,35,6
Spewpa,Bug,45,22,60,27,30,29,6
Vivillon,Bug,80,52,50,90,50,89,6
Litleo,Fire,62,50,58,73,54,72,6
Pyroar,Fire,86,68,72,109,66,106,6
Flabébé,Fairy,44,38,39,61,79,42,6
Floette,Fairy,54,45,47,75,98,52,6
Florges,Fairy,78,65,68,112,154,75,6
Skiddo,Grass,66,65,48,62,57,52,6
Gogoat,Grass,123,100,62,97,81,68,6
Pancham,Fighting,67,82,62,46,48,43,6
Pangoro,Fighting,95,124,78,69,71,58,6
Furfrou,Normal,75,80,60,65,90,102,6
Espurr,Psychic,62,48,54,63,60,68,6
MeowsticMale,Psychic,74,48,76,83,81,104,6
MeowsticFemale,Psychic,74,48,76,83,81,104,6
Honedge,Steel,45,80,100,35,37,28,6
Doublade,Steel,59,110,150,45,49,35,6
AegislashBlade Forme,Steel,60,150,50,150,50,60,6
AegislashShield Forme,Steel,60,50,150,50,150,60,6
Spritzee,Fairy,78,52,60,63,65,23,6
Aromatisse,Fairy,101,72,72,99,89,29,6
Swirlix,Fairy,62,48,66,59,57,49,6
Slurpuff,Fairy,82,80,86,85,75,72,6
Inkay,Dark,53,54,53,37,46,45,6
Malamar,Dark,86,92,88,68,75,73,6
Binacle,Rock,42,52,67,39,56,50,6
Barbaracle,Rock,72,105,115,54,86,68,6
Skrelp,Poison,50,60,60,60,60,30,6
Dragalge,Poison,65,75,90,97,123,44,6
Clauncher,Water,50,53,62,58,63,44,6
Clawitzer,Water,71,73,88,120,89,59,6
Helioptile,Electric,44,38,33,61,43,70,6
Heliolisk,Electric,62,55,52,109,94,109,6
Tyrunt,Rock,58,89,77,45,45,48,6
Tyrantrum,Rock,82,121,119,69,59,71,6
Amaura,Rock,77,59,50,67,63,46,6
Aurorus,Rock,123,77,72,99,92,58,6
Sylveon,Fairy,95,65,65,110,130,60,6
Hawlucha,Fighting,78,92,75,74,63,118,6
Dedenne,Electric,67,58,57,81,67,101,6
Carbink,Rock,50,50,150,50,150,50,6
Goomy,Dragon,45,50,35,55,75,40,6
Sliggoo,Dragon,68,75,53,83,113,60,6
Goodra,Dragon,90,100,70,110,150,80,6
Klefki,Steel,57,80,91,80,87,75,6
Phantump,Ghost,43,70,48,50,60,38,6
Trevenant,Ghost,85,110,76,65,82,56,6
PumpkabooAverage Size,Ghost,49,66,70,44,55,51,6
PumpkabooSmall Size,Ghost,44,66,70,44,55,56,6
PumpkabooLarge Size,Ghost,54,66,70,44,55,46,6
PumpkabooSuper Size,Ghost,59,66,70,44,55,41,6
GourgeistAverage Size,Ghost,65,90,122,58,75,84,6
GourgeistSmall Size,Ghost,55,85,122,58,75,99,6
GourgeistLarge Size,Ghost,75,95,122,58,75,69,6
GourgeistSuper Size,Ghost,85,100,122,58,75,54,6
Bergmite,Ice,55,69,85,32,35,28,6
Avalugg,Ice,95,117,184,44,46,28,6
Noibat,Flying,40,30,35,45,40,55,6
Noivern,Flying,85,70,80,97,80,123,6
Xerneas,Fairy,126,131,95,131,98,99,6
Yveltal,Dark,126,131,95,131,98,99,6
Zygarde50% Forme,Dragon,108,100,121,81,95,95,6
Diancie,Rock,50,100,150,100,150,50,6
DiancieMega Diancie,Rock,50,160,110,160,110,110,6
HoopaHoopa Confined,Psychic,80,110,60,150,130,70,6
HoopaHoopa Unbound,Psychic,80,160,60,170,130,80,6
Volcanion,Fire,80,110,120,130,90,70,6
